index	identifier	file	clip	sum_stat	description
14	14	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00146.BC04.bw	384	sum	frontal_cortex_+_parietal_cortex_+_temporal_cortex_+_occipital_cortex
15	15	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00201.BC02.bw	384	sum	spleen
16	16	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00201.BC03.bw	384	sum	adenohypophysis
17	17	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00201.BC05.bw	384	sum	caudate_nucleus_+_amygdala
18	18	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00201.BC08.bw	384	sum	spinal_ganglion
19	19	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00201.BC12.bw	384	sum	adrenal_gland
20	20	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00201.BC13.bw	384	sum	bone_marrow
21	21	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00202.BC02.bw	384	sum	testis
22	22	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00202.BC03.bw	384	sum	hippocampal_formation
23	23	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00202.BC05.bw	384	sum	neurohypophysis
24	24	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00202.BC08.bw	384	sum	embryo
25	25	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00202.BC10.bw	384	sum	pancreas
26	26	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00202.BC12.bw	384	sum	cerebellum_hemisphere_+_cerebellum_vermis
27	27	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00202.BC13.bw	384	sum	artery_+_vena_cava
28	28	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00202.BC15.bw	384	sum	lung
29	29	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00203.BC02.bw	384	sum	colon
30	30	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00203.BC03.bw	384	sum	spleen
31	31	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00203.BC05.bw	384	sum	olfactory_bulb_+_vomeronasal_organ_+_nasal_cavity_olfactory_mucosa
32	32	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00203.BC10.bw	384	sum	midbrain_+_pons_+_brainstem
33	33	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00203.BC13.bw	384	sum	hippocampal_formation
34	34	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00203.BC15.bw	384	sum	embryo
35	35	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00204.BC02.bw	384	sum	thalamus
36	36	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00204.BC03.bw	384	sum	spinal_cord
37	37	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00204.BC05.bw	384	sum	cardiac_muscle_tissue
38	38	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00204.BC08.bw	384	sum	adenohypophysis
39	39	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00204.BC10.bw	384	sum	liver
40	40	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00204.BC13.bw	384	sum	corpus_callosum
41	41	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00204.BC15.bw	384	sum	ovary
42	42	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00205.BC02.bw	384	sum	embryo
43	43	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00205.BC03.bw	384	sum	thalamus
44	44	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00205.BC05.bw	384	sum	skeletal_muscle
45	45	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00205.BC08.bw	384	sum	prostate_gland
46	46	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00205.BC12.bw	384	sum	thyroid_gland
47	47	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00205.BC13.bw	384	sum	liver
48	48	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00206.BC02.bw	384	sum	artery_+_vena_cava
49	49	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00206.BC03.bw	384	sum	embryo
50	50	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00206.BC05.bw	384	sum	retina_+_optic_II_nerve
51	51	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00206.BC12.bw	384	sum	thalamus
52	52	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00206.BC13.bw	384	sum	thyroid_gland
53	53	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00206.BC15.bw	384	sum	uterus
54	54	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00207.BC02.bw	384	sum	heart_endocardium_+_heart_valve
55	55	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00207.BC03.bw	384	sum	colon
56	56	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00207.BC05.bw	384	sum	embryo
57	57	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00207.BC10.bw	384	sum	ovary
58	58	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00207.BC13.bw	384	sum	retina_+_optic_II_nerve
59	59	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00207.BC15.bw	384	sum	neurohypophysis
60	60	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00208.BC03.bw	384	sum	skin
61	61	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00208.BC05.bw	384	sum	testis
62	62	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00208.BC08.bw	384	sum	trachea_+_bronchus
63	63	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00208.BC13.bw	384	sum	neurohypophysis
64	64	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00209.BC03.bw	384	sum	bone_marrow
65	65	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00209.BC05.bw	384	sum	skin
66	66	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00209.BC08.bw	384	sum	piriform_lobe
67	67	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00209.BC10.bw	384	sum	skeletal_muscle
68	68	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00209.BC12.bw	384	sum	lung
69	69	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00209.BC15.bw	384	sum	trachea_+_bronchus
70	70	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00210.BC02.bw	384	sum	kidney
71	71	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00210.BC08.bw	384	sum	artery_+_vena_cava
72	72	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00210.BC10.bw	384	sum	trachea_+_bronchus
73	73	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00210.BC12.bw	384	sum	prostate_gland
74	74	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00210.BC13.bw	384	sum	spinal_cord
75	75	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00210.BC15.bw	384	sum	adrenal_gland
76	76	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00211.BC02.bw	384	sum	spinal_ganglion
77	77	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00211.BC03.bw	384	sum	thyroid_gland
78	78	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00211.BC05.bw	384	sum	heart_endocardium_+_heart_valve
79	79	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00211.BC12.bw	384	sum	kidney
80	80	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00211.BC13.bw	384	sum	adrenal_gland
81	81	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00211.BC15.bw	384	sum	parathyroid_gland
82	82	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00212.BC02.bw	384	sum	liver
83	83	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00212.BC05.bw	384	sum	stomach
84	84	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00212.BC08.bw	384	sum	colon
85	85	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00212.BC10.bw	384	sum	embryo
86	86	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00212.BC12.bw	384	sum	skeletal_muscle
87	87	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00213.BC02.bw	384	sum	uterus
88	88	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00213.BC03.bw	384	sum	frontal_cortex_+_parietal_cortex_+_temporal_cortex_+_occipital_cortex
89	89	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00213.BC05.bw	384	sum	ovary
90	90	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00213.BC10.bw	384	sum	lung
91	91	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00213.BC12.bw	384	sum	pancreas
92	92	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00213.BC13.bw	384	sum	adenohypophysis
93	93	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00213.BC15.bw	384	sum	spinal_ganglion
94	94	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00214.BC02.bw	384	sum	spinal_cord
95	95	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00214.BC03.bw	384	sum	kidney
96	96	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00214.BC05.bw	384	sum	bone_marrow
97	97	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00214.BC08.bw	384	sum	skin
98	98	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00214.BC10.bw	384	sum	stomach
99	99	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00214.BC12.bw	384	sum	testis
100	100	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00214.BC15.bw	384	sum	pancreas
101	101	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00215.BC02.bw	384	sum	stomach
102	102	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00215.BC03.bw	384	sum	olfactory_bulb
103	103	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00215.BC05.bw	384	sum	prostate_gland
104	104	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00215.BC08.bw	384	sum	cerebellum_hemisphere_+_cerebellum_vermis
105	105	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00215.BC10.bw	384	sum	hippocampal_formation
106	106	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00215.BC12.bw	384	sum	skin
107	107	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00215.BC13.bw	384	sum	heart_endocardium_+_heart_valve
108	108	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00215.BC15.bw	384	sum	piriform_lobe
109	109	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00216.BC02.bw	384	sum	olfactory_bulb
110	110	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00216.BC03.bw	384	sum	midbrain_+_pons_+_brainstem
111	111	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00216.BC05.bw	384	sum	midbrain_+_pons_+_brainstem
112	112	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00216.BC08.bw	384	sum	spleen
113	113	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00216.BC10.bw	384	sum	skin
114	114	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00216.BC12.bw	384	sum	piriform_lobe
115	115	/groups/dog/data/canFam4/NGS/CAGE_DoGA/BW/CAGE_L_00216.BC13.bw	384	sum	olfactory_bulb
