NAME	DCHR	DPROMSTART	DPROMEND	DSTRAND	HCHR	HPROMSTART	HPROMEND	HSTRAND
CCL22	chr2	58316323	58317347	-1	chr16	57357759	57358783	1
NLRC5	chr2	58630406	58631430	-1	chr16	56988461	56989485	1
HERPUD1	chr2	58671800	58672824	-1	chr16	56931118	56932142	1
NUP93	chr2	58846012	58847036	-1	chr16	56729094	56730118	1
CYLD	chr2	63905381	63906405	-1	chr16	50741026	50742050	1
NOD2	chr2	63943824	63944848	-1	chr16	50692564	50693588	1
HDAC1	chr2	68334559	68335583	-1	chr1	32291059	32292083	1
LCK	chr2	68362999	68364023	-1	chr1	32250215	32251239	1
SESN2	chr2	71563428	71564452	-1	chr1	28258494	28259518	1
MAP3K6	chr2	72297996	72299020	1	chr1	27366961	27367985	-1
ARID1A	chr2	72798165	72799189	-1	chr1	26692212	26693236	1
IL22RA1	chr2	74848211	74849235	1	chr1	24143140	24144164	-1
ID3	chr2	75273941	75274965	1	chr1	23559501	23560525	-1
C1QB	chr2	76047706	76048730	-1	chr1	22651738	22652762	1
C1QA	chr2	76063252	76064276	-1	chr1	22635604	22636628	1
PAX7	chr2	79381745	79382769	-1	chr1	18629822	18630846	1
PDPN	chr2	83068230	83069254	-1	chr1	13582441	13583465	1
TNFRSF1B	chr2	83643630	83644654	-1	chr1	12165967	12166991	1
TNFRSF8	chr2	83702020	83703044	-1	chr1	12062279	12063303	1
MAD2L2	chr2	84019013	84020037	1	chr1	11691650	11692674	-1
MTOR	chr2	84292650	84293674	1	chr1	11262551	11263575	-1
MASP2	chr2	84449120	84450144	1	chr1	11047239	11048263	-1
APC	chr3	377618	378642	-1	chr5	112706474	112707498	1
MEF2C	chr3	19915053	19916077	1	chr5	88904257	88905281	-1
RASA1	chr3	21310549	21311573	-1	chr5	87266859	87267883	1
ATG10	chr3	25551944	25552968	-1	chr5	81970999	81972023	1
MSH3	chr3	26636178	26637202	-1	chr5	80653628	80654652	1
HMGCR	chr3	31199407	31200431	-1	chr5	75335305	75336329	1
IGF1R	chr3	42178532	42179556	1	chr15	98647515	98648539	1
NTRK3	chr3	52005592	52006616	-1	chr15	88256768	88257792	-1
ISG20	chr3	52313173	52314197	1	chr15	88635129	88636153	1
IDH2	chr3	53574816	53575840	-1	chr15	90102477	90103501	-1
FES	chr3	53843534	53844558	-1	chr15	90882671	90883695	1
FURIN	chr3	53855974	53856998	-1	chr15	90867564	90868588	1
BLM	chr3	53993588	53994612	-1	chr15	90716322	90717346	1
CRTC3	chr3	54147176	54148200	-1	chr15	90528899	90529923	1
IL16	chr3	57053995	57055019	-1	chr15	81158551	81159575	1
CTSH	chr3	58590009	58591033	1	chr15	78949574	78950598	-1
NSD2	chr3	62759731	62760755	-1	chr4	1870369	1871393	1
FGFR3	chr3	62855656	62856680	-1	chr4	1792269	1793293	1
LAP3	chr3	63454152	63455176	-1	chr4	17576168	17577192	1
CD38	chr3	65108887	65109911	-1	chr4	15777251	15778275	1
BST1	chr3	65187195	65188219	-1	chr4	15702041	15703065	1
RHOH	chr3	72846874	72847898	-1	chr4	40190029	40191053	1
TLR1	chr3	74114254	74115278	1	chr4	38856817	38857841	-1
TLR10	chr3	74140105	74141129	1	chr4	38782990	38784014	-1
SLC34A2	chr3	85312032	85313056	-1	chr4	25646987	25648011	1
PPARGC1A	chr3	86242868	86243892	1	chr4	23904089	23905113	-1
IFIT2	chr4	379534	380558	1	chr10	89282670	89283694	1
ARID4B	chr4	4973612	4974636	1	chr1	235328219	235329243	-1
SPRTN	chr4	8512645	8513669	-1	chr1	231336080	231337104	1
PGBD5	chr4	9295485	9296509	1	chr1	230426332	230427356	-1
CCDC6	chr4	12747202	12748226	-1	chr10	59906556	59907580	-1
CDK1	chr4	13554872	13555896	1	chr10	60777307	60778331	1
ARID5B	chr4	14657856	14658880	1	chr10	61900660	61901684	1
TET1	chr4	20477258	20478282	1	chr10	68559313	68560337	1
PRF1	chr4	22230277	22231301	-1	chr10	70602759	70603783	-1
VSIR	chr4	23266458	23267482	-1	chr10	71773520	71774544	-1
PLAU	chr4	25060872	25061896	1	chr10	73908153	73909177	1
KAT6B	chr4	25849686	25850710	1	chr10	74823903	74824927	1
BMPR1A	chr4	35396804	35397828	1	chr10	86755577	86756601	1
NSD1	chr4	37099849	37100873	-1	chr5	177132001	177133025	1
FGFR4	chr4	37141210	37142234	-1	chr5	177085881	177086905	1
DUSP1	chr4	40473717	40474741	1	chr5	172771195	172772219	-1
FBXW11	chr4	41128798	41129822	1	chr5	172006873	172007897	-1
TLX3	chr4	41713662	41714686	-1	chr5	171308224	171309248	1
DOCK2	chr4	43068964	43069988	-1	chr5	169636244	169637268	1
GABRA6	chr4	50121062	50122086	-1	chr5	161546039	161547063	1
IL12B	chr4	52068769	52069793	1	chr5	159330487	159331511	-1
EBF1	chr4	52258544	52259568	1	chr5	159099916	159100940	-1
CYFIP2	chr4	53780306	53781330	-1	chr5	157265055	157266079	1
ITK	chr4	53852963	53853987	-1	chr5	157141909	157142933	1
HAVCR2	chr4	53904736	53905760	1	chr5	157142869	157143893	-1
CD74	chr4	59603583	59604607	1	chr5	150412969	150413993	-1
PDGFRB	chr4	59840246	59841270	1	chr5	150155872	150156896	-1
CSF1R	chr4	59894591	59895615	1	chr5	150113372	150114396	-1
IL17B	chr4	60489452	60490476	1	chr5	149404202	149405226	-1
GZMK	chr4	61482765	61483789	-1	chr5	55023232	55024256	1
ITGA2	chr4	63193515	63194539	-1	chr5	52988316	52989340	1
ITGA1	chr4	63380850	63381874	-1	chr5	52786892	52787916	1
FGF10	chr4	66767736	66768760	1	chr5	44389706	44390730	-1
CCL28	chr4	67483021	67484045	1	chr5	43412391	43413415	-1
C6	chr4	69146668	69147692	1	chr5	41261438	41262462	-1
C7	chr4	69426946	69427970	-1	chr5	40908473	40909497	1
PTGER4	chr4	69594491	69595515	-1	chr5	40678891	40679915	1
C9	chr4	70576266	70577290	1	chr5	39424868	39425892	-1
RICTOR	chr4	70811413	70812437	1	chr5	39074399	39075423	-1
LIFR	chr4	71244673	71245697	1	chr5	38608354	38609378	-1
IL7R	chr4	73577774	73578798	-1	chr5	35851671	35852695	1
DROSHA	chr4	76684923	76685947	1	chr5	31532196	31533220	-1
JAM3	chr5	1192622	1193646	-1	chr11	134068047	134069071	1
KCNJ5	chr5	5792183	5793207	-1	chr11	128890332	128891356	1
FLI1	chr5	5993208	5994232	-1	chr11	128685511	128686535	1
ETS1	chr5	6082981	6084005	1	chr11	128587558	128588582	-1
TIRAP	chr5	8272742	8273766	-1	chr11	126282041	126283065	1
CHEK1	chr5	8929731	8930755	-1	chr11	125624139	125625163	1
ARHGEF12	chr5	13694183	13695207	-1	chr11	120335389	120336413	1
THY1	chr5	14528849	14529873	1	chr11	119424985	119426009	-1
MCAM	chr5	14615054	14616078	1	chr11	119321521	119322545	-1
CBL	chr5	14703693	14704717	-1	chr11	119205274	119206298	1
BCL9L	chr5	14918056	14919080	1	chr11	118925926	118926950	-1
CXCR5	chr5	14958415	14959439	-1	chr11	118882868	118883892	1
DDX6	chr5	15026689	15027713	1	chr11	118791164	118792188	-1
KMT2A	chr5	15325572	15326596	-1	chr11	118435466	118436490	1
CD3G	chr5	15416467	15417491	-1	chr11	118343320	118344344	1
CD3D	chr5	15416974	15417998	1	chr11	118342705	118343729	-1
CD3E	chr5	15440314	15441338	-1	chr11	118303706	118304730	1
JAML	chr5	15509268	15510292	1	chr11	118225094	118226118	-1
IL10RA	chr5	15712914	15713938	-1	chr11	117985346	117986370	1
PCSK7	chr5	16390990	16392014	1	chr11	117232525	117233549	-1
ZBTB16	chr5	19305163	19306187	-1	chr11	114058017	114059041	1
NCAM1	chr5	20223810	20224834	-1	chr11	112960223	112961247	1
IL18	chr5	21017609	21018633	1	chr11	112164096	112165120	-1
POU2AF1	chr5	21705980	21707004	1	chr11	111455630	111456654	-1
DDX10	chr5	23974179	23975203	-1	chr11	108664045	108665069	1
ATM	chr5	24333125	24334149	-1	chr11	108222020	108223044	1
MMP1	chr5	29118041	29119065	1	chr11	102798160	102799184	-1
BIRC3	chr5	29478850	29479874	-1	chr11	102316426	102317450	1
YAP1	chr5	29638553	29639577	-1	chr11	102109423	102110447	1
C1QBP	chr5	31559185	31560209	1	chr17	5448830	5449854	-1
RABEP1	chr5	31697964	31698988	-1	chr17	5281241	5282265	1
CXCL16	chr5	32022965	32023989	1	chr17	4739928	4740952	-1
GPS2	chr5	32482218	32483242	-1	chr17	7315564	7316588	-1
TNFSF12	chr5	32681284	32682308	1	chr17	7548034	7549058	1
TNFSF13	chr5	32690401	32691425	1	chr17	7557268	7558292	1
CD68	chr5	32708432	32709456	1	chr17	7578467	7579491	1
TP53	chr5	32781775	32782799	-1	chr17	7687538	7688562	-1
ALOX12B	chr5	33116773	33117797	-1	chr17	8087716	8088740	-1
PER1	chr5	33177939	33178963	-1	chr17	8156506	8157530	-1
AURKB	chr5	33234968	33235992	-1	chr17	8210600	8211624	-1
GAS7	chr5	34753149	34754173	-1	chr17	10198606	10199630	-1
MAP2K4	chr5	36320204	36321228	1	chr17	12019805	12020829	1
NCOR1	chr5	39905728	39906752	1	chr17	16218185	16219209	-1
GID4	chr5	41694110	41695134	-1	chr17	18038384	18039408	1
TNFRSF13B	chr5	42662240	42663264	1	chr17	16972118	16973142	-1
IL12RB2	chr5	43597143	43598167	-1	chr1	67306340	67307364	1
IL23R	chr5	43707245	43708269	-1	chr1	67137883	67138907	1
JAK1	chr5	45593967	45594991	1	chr1	65067754	65068778	-1
C8B	chr5	52896291	52897315	1	chr1	56966140	56967164	-1
C8A	chr5	53012011	53013035	-1	chr1	56853773	56854797	1
ISG15	chr5	56711657	56712681	1	chr1	1000114	1001138	1
TNFRSF18	chr5	56873370	56874394	-1	chr1	1206592	1207616	-1
TNFRSF4	chr5	56880258	56881282	-1	chr1	1214153	1215177	-1
NADK	chr5	57249569	57250593	-1	chr1	1780457	1781481	-1
GNB1	chr5	57292011	57293035	-1	chr1	1891117	1892141	-1
TNFRSF14	chr5	57888121	57889145	1	chr1	2554615	2555639	1
PRDM16	chr5	58178613	58179637	1	chr1	3068144	3069168	1
RPL22	chr5	60584151	60585175	-1	chr1	6209389	6210413	-1
CAMTA1	chr5	61064133	61065157	1	chr1	6784430	6785454	1
TNFRSF9	chr5	62045771	62046795	-1	chr1	7943165	7944189	-1
ERRFI1	chr5	62119850	62120874	-1	chr1	8026309	8027333	-1
PIK3CD	chr5	63375040	63376064	1	chr1	9650707	9651731	1
FANCA	chr5	64269102	64270126	1	chr16	89816657	89817681	-1
ANKRD11	chr5	64529233	64530257	1	chr16	89490561	89491585	-1
CBFA2T3	chr5	64914878	64915902	1	chr16	88977207	88978231	-1
FBXO31	chr5	66181600	66182624	1	chr16	87392142	87393166	-1
FOXF1	chr5	66840702	66841726	-1	chr16	86509503	86510527	1
IRF8	chr5	67310056	67311080	-1	chr16	85898138	85899162	1
PLCG2	chr5	70793735	70794759	-1	chr16	81738073	81739097	1
MAF	chr5	72523393	72524417	1	chr16	79600737	79601761	-1
EXOSC6	chr5	76861358	76862382	-1	chr16	70251940	70252964	-1
IL34	chr5	77173290	77174314	1	chr16	70578871	70579895	1
CMTR2	chr5	77706292	77707316	-1	chr16	71289715	71290739	-1
ZFHX3	chr5	79190942	79191966	-1	chr16	73891871	73892895	-1
CDH1	chr5	81420857	81421881	-1	chr16	68736268	68737292	1
NFATC3	chr5	82019645	82020669	-1	chr16	68083727	68084751	1
PSMB10	chr5	82145899	82146923	1	chr16	67936864	67937888	-1
CTCF	chr5	82449348	82450372	-1	chr16	67561443	67562467	1
CKLF	chr5	83312111	83313135	-1	chr16	66551539	66552563	1
CDH5	chr5	83449500	83450524	-1	chr16	66365598	66366622	1
CDH11	chr5	84556762	84557786	1	chr16	65126112	65127136	-1
SBDS	chr6	1176554	1177578	-1	chr7	66995587	66996611	-1
GTF2I	chr6	5758859	5759883	-1	chr7	74649207	74650231	1
ELN	chr6	6248126	6249150	-1	chr7	74026765	74027789	1
HIP1	chr6	7032555	7033579	-1	chr7	75738962	75739986	-1
CCL26	chr6	7071344	7072368	-1	chr7	75789896	75790920	-1
CCL24	chr6	7086021	7087045	-1	chr7	75823356	75824380	-1
CUX1	chr6	8100353	8101377	-1	chr7	101814880	101815904	1
EPHB4	chr6	8872996	8874020	1	chr7	100827523	100828547	-1
TRRAP	chr6	10717277	10718301	-1	chr7	98876909	98877933	1
RAC1	chr6	11816051	11817075	1	chr7	6373503	6374527	1
CARD11	chr6	14346881	14347905	1	chr7	3043867	3044891	-1
GNA12	chr6	14510816	14511840	1	chr7	2844308	2845332	-1
LFNG	chr6	14784860	14785884	-1	chr7	2511505	2512529	1
ITGAM	chr6	17158038	17159062	-1	chr16	31258943	31259967	1
PYCARD	chr6	17210685	17211709	1	chr16	31203450	31204474	-1
FUS	chr6	17233413	17234437	-1	chr16	31179114	31180138	1
PRSS8	chr6	17271573	17272597	1	chr16	31135727	31136751	-1
SETD1A	chr6	17409702	17410726	-1	chr16	30956730	30957754	1
ITGAL	chr6	17806699	17807723	-1	chr16	30471634	30472658	1
MAPK3	chr6	18281602	18282626	-1	chr16	30123506	30124530	-1
IL27	chr6	18409188	18410212	1	chr16	28512051	28513075	-1
CD19	chr6	18584130	18585154	1	chr16	28930941	28931965	1
IL21R	chr6	19415204	19416228	-1	chr16	27401150	27402174	1
IL4R	chr6	19490511	19491535	-1	chr16	27312644	27313668	1
PALB2	chr6	22453521	22454545	1	chr16	23641310	23642334	-1
SMG1	chr6	26441799	26442823	1	chr16	18926408	18927432	-1
MYH11	chr6	28302223	28303247	1	chr16	15857028	15858052	-1
ERCC4	chr6	29498483	29499507	-1	chr16	13919114	13920138	1
SNX29	chr6	31127625	31128649	-1	chr16	11975710	11976734	1
TNFRSF17	chr6	31135999	31137023	-1	chr16	11964186	11965210	1
RMI2	chr6	31739775	31740799	-1	chr16	11248595	11249619	1
SOCS1	chr6	31803744	31804768	1	chr16	11256204	11257228	-1
CIITA	chr6	32131721	32132745	-1	chr16	10865198	10866222	1
GRIN2A	chr6	32425652	32426676	1	chr16	10182928	10183952	-1
CREBBP	chr6	37711347	37712371	1	chr16	3880713	3881737	-1
SLX4	chr6	37949086	37950110	1	chr16	3611606	3612630	-1
MEFV	chr6	38409820	38410844	1	chr16	3256633	3257657	-1
TNFRSF12A	chr6	38612857	38613881	-1	chr16	3017421	3018445	1
FLYWCH1	chr6	38691473	38692497	-1	chr16	2910907	2911931	1
PDPK1	chr6	38949380	38950404	-1	chr16	2536955	2537979	1
TRAF7	chr6	39250103	39251127	-1	chr16	1971029	1972053	1
TSC2	chr6	39342799	39343823	-1	chr16	2046943	2047967	1
NTHL1	chr6	39342130	39343154	1	chr16	2047866	2048890	-1
AXIN1	chr6	40624575	40625599	1	chr16	352723	353747	-1
CD53	chr6	41547338	41548362	-1	chr1	110870164	110871188	1
RBM15	chr6	42110871	42111895	-1	chr1	110337482	110338506	1
CSF1	chr6	42505704	42506728	-1	chr1	109909218	109910242	1
VCAM1	chr6	49807229	49808253	-1	chr1	100718718	100719742	1
BCL10	chr6	63257018	63258042	1	chr1	85276632	85277656	-1
NEGR1	chr6	74357142	74358166	1	chr1	72282539	72283563	-1
PTPRC	chr7	4047618	4048642	-1	chr1	198637433	198638457	1
IL10	chr7	5701500	5702524	-1	chr1	206774541	206775565	-1
IL19	chr7	5764439	5765463	1	chr1	206769740	206770764	1
IL24	chr7	5803378	5804402	1	chr1	206896419	206897443	1
C4BPA	chr7	6002151	6003175	1	chr1	207103209	207104233	1
CD55	chr7	6124057	6125081	1	chr1	207320508	207321532	1
CD34	chr7	6523438	6524462	-1	chr1	207911402	207912426	-1
HSD11B1	chr7	8169893	8170917	1	chr1	209685154	209686178	1
TRAF5	chr7	9663206	9664230	1	chr1	211325591	211326615	1
TPR	chr7	19325389	19326413	-1	chr1	186375693	186376717	-1
PTGS2	chr7	19559778	19560802	-1	chr1	186680423	186681447	-1
ABL2	chr7	20505393	20506417	1	chr1	179229684	179230708	-1
COP1	chr7	23216322	23217346	1	chr1	176207286	176208310	-1
TNFSF4	chr7	25779181	25780205	1	chr1	173207331	173208355	-1
TNFSF18	chr7	25878435	25879459	1	chr1	173050963	173051987	-1
FASLG	chr7	26226386	26227410	-1	chr1	172658079	172659103	1
PRRX1	chr7	28061291	28062315	-1	chr1	170661704	170662728	1
SELE	chr7	28810689	28811713	1	chr1	169764705	169765729	-1
SELL	chr7	28828457	28829481	1	chr1	169711702	169712726	-1
FH	chr7	32861236	32862260	-1	chr1	241519799	241520823	-1
AKT3	chr7	34887190	34888214	-1	chr1	243851079	243852103	-1
SMYD3	chr7	37199813	37200837	-1	chr1	246507312	246508336	-1
PARP1	chr7	38452281	38453305	1	chr1	226408154	226409178	-1
FCRL2	chr7	40506431	40507455	1	chr1	157777132	157778156	-1
FCRL4	chr7	40594517	40595541	1	chr1	157598085	157599109	-1
NTRK1	chr7	41140332	41141356	-1	chr1	156814616	156815640	1
PRCC	chr7	41206703	41207727	-1	chr1	156749586	156750610	1
LMNA	chr7	41704901	41705925	-1	chr1	156081549	156082573	1
RIT1	chr7	41878979	41880003	1	chr1	155911404	155912428	-1
MUC1	chr7	42325858	42326882	1	chr1	155192916	155193940	-1
CKS1B	chr7	42486935	42487959	-1	chr1	154973629	154974653	1
IL6R	chr7	42906503	42907527	-1	chr1	154404169	154405193	1
S100A8	chr7	43529083	43530107	1	chr1	153391073	153392097	-1
S100A12	chr7	43542445	43543469	1	chr1	153375621	153376645	-1
SMAD2	chr7	43687613	43688637	1	chr18	47931146	47932170	-1
SETBP1	chr7	46360723	46361747	-1	chr18	44679149	44680173	1
PIK3C3	chr7	48775800	48776824	-1	chr18	41954210	41955234	1
ELP2	chr7	54028562	54029586	-1	chr18	36128420	36129444	1
ZNF24	chr7	54660678	54661702	1	chr18	35345482	35346506	-1
SS18	chr7	62527514	62528538	1	chr18	26091217	26092241	-1
ZNF521	chr7	63186745	63187769	1	chr18	25352190	25353214	-1
MIB1	chr7	66364261	66365285	-1	chr18	21703933	21704957	1
COLEC12	chr7	67429208	67430232	-1	chr18	500722	501746	-1
TYMS	chr7	67542993	67544017	1	chr18	656629	657653	1
YES1	chr7	67654785	67655809	-1	chr18	812546	813570	-1
PTPN2	chr7	78345463	78346487	-1	chr18	12929643	12930667	-1
NLRP3	chr8	336002	337026	1	chr1	247415132	247416156	1
TRIP11	chr8	1378640	1379664	-1	chr14	92040896	92041920	-1
GOLGA5	chr8	1942850	1943874	1	chr14	92793281	92794305	1
IL25	chr8	3742893	3743917	1	chr14	23371785	23372809	1
NFATC4	chr8	4462279	4463303	1	chr14	24364649	24365673	1
CMA1	chr8	4567048	4568072	-1	chr14	24508265	24509289	-1
GZMB	chr8	4637481	4638505	-1	chr14	24634267	24635291	-1
PRKD1	chr8	9462703	9463727	-1	chr14	30191898	30192922	-1
NFKBIA	chr8	14265883	14266907	-1	chr14	35404749	35405773	-1
FOXA1	chr8	16251213	16252237	-1	chr14	37596059	37597083	-1
NIN	chr8	27450290	27451314	-1	chr14	50831162	50832186	-1
PTGER2	chr8	28776516	28777540	1	chr14	52313281	52314305	1
LGALS3	chr8	31287713	31288737	1	chr14	55123086	55124110	1
KTN1	chr8	31655330	31656354	1	chr14	55558048	55559072	1
ARID4A	chr8	33957163	33958187	1	chr14	58297480	58298504	1
SIX1	chr8	35963565	35964589	-1	chr14	60658259	60659283	-1
HIF1A	chr8	36895616	36896640	1	chr14	61694489	61695513	1
ESR2	chr8	38990144	38991168	-1	chr14	64338112	64339136	-1
MAX	chr8	39740975	39741999	-1	chr14	65102695	65103719	-1
GPHN	chr8	40855408	40856432	1	chr14	66506383	66507407	1
ARG2	chr8	41867735	41868759	1	chr14	67618896	67619920	1
RAD51B	chr8	42055837	42056861	1	chr14	67818755	67819779	1
PNMA1	chr8	47279060	47280084	-1	chr14	73714384	73715408	-1
FOS	chr8	48648004	48649028	1	chr14	75277802	75278826	1
TSHR	chr8	53633828	53634852	1	chr14	80953965	80954989	1
DICER1	chr8	64368151	64369175	-1	chr14	95158010	95159034	-1
TCL1B	chr8	64824305	64825329	1	chr14	95685402	95686426	1
BCL11B	chr8	68125174	68126198	-1	chr14	99272197	99273221	-1
SETD3	chr8	68312327	68313351	-1	chr14	99480889	99481913	-1
YY1	chr8	68947849	68948873	1	chr14	100237274	100238298	1
TRAF3	chr8	71083355	71084379	1	chr14	102776425	102777449	1
AKT1	chr8	72737716	72738740	-1	chr14	104795751	104796775	-1
CD7	chr9	867994	869018	1	chr17	82317608	82318632	-1
SLC16A3	chr9	945639	946663	-1	chr17	82227373	82228397	1
ASPSCR1	chr9	1155006	1156030	-1	chr17	81975783	81976807	1
ACTG1	chr9	1459262	1460286	1	chr17	81523847	81524871	-1
