chrom  start      end        gene_name  score  strand  DNA_count  DNA_sum  DNA_cov   LINE_count  LINE_sum  LINE_cov  LTR_count  LTR_sum  LTR_cov  SINE_count  SINE_sum  SINE_cov
chr1   107549099  107550123  IRF3       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr1   107571280  107572304  RRAS       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr1   107700992  107702016  FLT3LG     0      -       0          0        0         0           0         0         1          156      15.2344  0           0         0
chr1   107813087  107814111  CD37       0      -       0          0        0         1           402       39.2578   0          0        0        1           173       16.8945
chr1   108100590  108101614  BAX        0      -       0          0        0         1           205       20.0195   1          92       8.98438  1           173       16.8945
chr1   109786942  109787966  ARHGAP35   0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr1   110885029  110886053  ERCC2      0      +       0          0        0         0           0         0         0          0        0        2           287       28.0273
chr1   111175691  111176715  RELB       0      -       0          0        0         1           107       10.4492   0          0        0        1           86        8.39844
chr1   111237204  111238228  APOE       0      -       0          0        0         0           0         0         0          0        0        2           311       30.3711
chr1   111316680  111317704  CBLC       0      -       0          0        0         0           0         0         0          0        0        1           195       19.043
chr1   111338394  111339418  BCL3       0      -       0          0        0         0           0         0         0          0        0        1           103       10.0586
chr1   111424445  111425469  PVR        0      -       0          0        0         2           203       19.8242   0          0        0        3           471       45.9961
chr1   112837664  112838688  CIC        0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr1   112841460  112842484  ERF        0      +       0          0        0         2           141       13.7695   0          0        0        4           657       64.1602
chr1   112893814  112894838  POU2F2     0      +       0          0        0         0           0         0         0          0        0        1           91        8.88672
chr1   113154758  113155782  CD79A      0      -       0          0        0         0           0         0         0          0        0        3           391       38.1836
chr1   113412503  113413527  TGFB1      0      +       0          0        0         0           0         0         0          0        0        1           44        4.29688
chr1   113511641  113512665  AXL        0      -       0          0        0         0           0         0         0          0        0        1           151       14.7461
chr1   114171952  114172976  AKT2       0      +       0          0        0         2           493       48.1445   0          0        0        0           0         0
chr1   117609694  117610718  HCST       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr1   117758866  117759890  KMT2B      0      -       0          0        0         0           0         0         0          0        0        1           106       10.3516
chr1   118129031  118130055  CD22       0      -       0          0        0         1           618       60.3516   0          0        0        0           0         0
chr1   118150653  118151677  HAMP       0      -       0          0        0         0           0         0         0          0        0        1           147       14.3555
chr1   118789615  118790639  GPI        0      -       0          0        0         1           99        9.66797   0          0        0        4           502       49.0234
chr1   122579545  122580569  CCNE1      0      -       0          0        0         2           84        8.20312   0          0        0        1           89        8.69141
chr10  481230     482254     CD63       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr10  757328     758352     ERBB3      0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr10  989196     990220     IL23A      0      +       0          0        0         0           0         0         0          0        0        2           373       36.4258
chr10  1013823    1014847    STAT2      0      -       0          0        0         0           0         0         0          0        0        3           391       38.1836
chr10  1579738    1580762    NAB2       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr10  1597208    1598232    STAT6      0      -       1          210      20.5078   0           0         0         0          0        0        2           338       33.0078
chr10  1613722    1614746    LRP1       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr10  1710279    1711303    SHMT2      0      +       0          0        0         0           0         0         0          0        0        3           283       27.6367
chr10  1918010    1919034    GLI1       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr10  1966292    1967316    DDIT3      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr10  2169759    2170783    CDK4       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr10  3131801    3132825    LRIG3      0      -       0          0        0         0           0         0         0          0        0        1           18        1.75781
chr10  7525033    7526057    TBK1       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr10  8084263    8085287    WIF1       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr10  10772882   10773906   IFNG       0      -       1          302      29.4922   0           0         0         0          0        0        0           0         0
chr10  10832719   10833743   IL26       0      -       0          0        0         1           84        8.20312   0          0        0        0           0         0
chr10  10853495   10854519   IL22       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr10  11295576   11296600   MDM2       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr10  11805028   11806052   FRS2       0      +       0          0        0         0           0         0         0          0        0        2           354       34.5703
chr10  12753669   12754693   PTPRB      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr10  20832742   20833766   GTSE1      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr10  24387301   24388325   TNFRSF13C  0      +       0          0        0         0           0         0         1          171      16.6992  2           269       26.2695
chr10  25114749   25115773   EP300      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr10  25519439   25520463   MRTFA      0      +       0          0        0         0           0         0         0          0        0        1           94        9.17969
chr10  26759534   26760558   PDGFB      0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr10  27679992   27681016   SOX10      0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr10  27935843   27936867   LGALS1     0      -       0          0        0         1           102       9.96094   0          0        0        0           0         0
chr10  28295207   28296231   RAC2       0      +       0          0        0         1           100       9.76562   0          0        0        0           0         0
chr10  28370112   28371136   IL2RB      0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr10  28567688   28568712   CSF2RB     0      -       1          233      22.7539   2           225       21.9727   0          0        0        1           257       25.0977
chr10  28672687   28673711   NCF4       0      -       0          0        0         3           666       65.0391   0          0        0        1           134       13.0859
chr10  29029986   29031010   MYH9       0      +       0          0        0         0           0         0         0          0        0        1           2         0.195312
chr10  36238211   36239235   RANBP2     0      -       0          0        0         0           0         0         0          0        0        2           248       24.2188
chr10  41660098   41661122   IL18RAP    0      -       0          0        0         0           0         0         2          305      29.7852  0           0         0
chr10  41707879   41708903   IL18R1     0      -       0          0        0         1           489       47.7539   0          0        0        0           0         0
chr10  41731892   41732916   IL1RL1     0      -       0          0        0         0           0         0         0          0        0        1           248       24.2188
chr10  41871492   41872516   IL1RL2     0      -       1          479      46.7773   0           0         0         0          0        0        0           0         0
chr10  41952281   41953305   IL1R1      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr10  42057056   42058080   IL1R2      0      -       0          0        0         0           0         0         0          0        0        1           180       17.5781
chr10  43638811   43639835   AFF3       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr10  45271376   45272400   INPP4A     0      -       0          0        0         0           0         0         0          0        0        1           173       16.8945
chr10  45975965   45976989   ZAP70      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr10  49028785   49029809   PRKCE      0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr10  49602581   49603605   EPAS1      0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr10  50539157   50540181   EPCAM      0      +       0          0        0         0           0         0         0          0        0        1           79        7.71484
chr10  50571198   50572222   MSH2       0      +       1          38       3.71094   1           156       15.2344   0          0        0        0           0         0
chr10  50868536   50869560   MSH6       0      +       0          0        0         1           83        8.10547   0          0        0        0           0         0
chr10  50980961   50981985   FBXO11     0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr10  59915100   59916124   FANCL      0      -       1          67       6.54297   0           0         0         3          611      59.668   0           0         0
chr10  61974801   61975825   BCL11A     0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr10  62276484   62277508   REL        0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr10  62880490   62881514   XPO1       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr10  67925386   67926410   ETAA1      0      +       0          0        0         1           312       30.4688   0          0        0        1           171       16.6992
chr11  1404652    1405676    FLT4       0      +       0          0        0         1           15        1.46484   0          0        0        1           39        3.80859
chr11  2546754    2547778    ADAMTS2    0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr11  5583094    5584118    TICAM2     0      -       0          0        0         0           0         0         0          0        0        1           180       17.5781
chr11  5813410    5814434    ATG12      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr11  12119305   12120329   SNCAIP     0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr11  20323814   20324838   IL3        0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr11  20338000   20339024   CSF2       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr11  20775474   20776498   IRF1       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr11  20821765   20822789   IL5        0      -       0          0        0         0           0         0         0          0        0        1           170       16.6016
chr11  20951893   20952917   IL13       0      +       0          0        0         0           0         0         0          0        0        1           175       17.0898
chr11  20966154   20967178   IL4        0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr11  21241674   21242698   AFF4       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr11  22320729   22321753   TCF7       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr11  23627406   23628430   CXCL14     0      -       0          0        0         0           0         0         0          0        0        2           197       19.2383
chr11  23834141   23835165   IL9        0      -       0          0        0         0           0         0         0          0        0        2           241       23.5352
chr11  26095129   26096153   EGR1       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr11  26322168   26323192   CTNNA1     0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr11  27762420   27763444   KDM4C      0      +       0          0        0         0           0         0         0          0        0        1           37        3.61328
chr11  31348978   31350002   PTPRD      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr11  34872773   34873797   NFIB       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr11  35846055   35847079   PSIP1      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr11  39222435   39223459   RPS6       0      -       0          0        0         1           138       13.4766   1          254      24.8047  0           0         0
chr11  40261006   40262030   MLLT3      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr11  40726753   40727777   IFNB1      0      -       1          200      19.5312   0           0         0         0          0        0        0           0         0
chr11  40976332   40977356   IFNA7      0      +       1          825      80.5664   0           0         0         0          0        0        0           0         0
chr11  41378057   41379081   CDKN2B     0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr11  45517454   45518478   TEK        0      +       0          0        0         0           0         0         0          0        0        1           193       18.8477
chr11  45885793   45886817   MOB3B      0      -       0          0        0         0           0         0         0          0        0        1           164       16.0156
chr11  50029015   50030039   DDX58      0      -       0          0        0         3           589       57.5195   0          0        0        0           0         0
chr11  51538340   51539364   ARID3C     0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr11  51571750   51572774   CCL27      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr11  51595370   51596394   CCL19      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr11  51956319   51957343   FANCG      0      -       0          0        0         2           559       54.5898   0          0        0        1           176       17.1875
chr11  53723946   53724970   PAX5       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr11  55331573   55332597   XPA        0      -       0          0        0         0           0         0         0          0        0        2           258       25.1953
chr11  56498955   56499979   TGFBR1     0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr11  57143325   57144349   NR4A3      0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr11  61784986   61786010   TAL2       0      +       0          0        0         1           159       15.5273   0          0        0        1           177       17.2852
chr11  63263062   63264086   KLF4       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr11  68762492   68763516   AMBP       0      -       0          0        0         1           202       19.7266   1          56       5.46875  2           297       29.0039
chr11  69319429   69320453   TNFSF15    0      -       0          0        0         1           78        7.61719   0          0        0        2           258       25.1953
chr11  69416891   69417915   TNFSF8     0      -       0          0        0         0           0         0         1          178      17.3828  0           0         0
chr11  71766587   71767611   TLR4       0      +       0          0        0         0           0         0         1          370      36.1328  0           0         0
chr11  74443207   74444231   C5         0      -       0          0        0         0           0         0         0          0        0        1           152       14.8438
chr11  74492181   74493205   CNTRL      0      +       0          0        0         0           0         0         0          0        0        1           150       14.6484
chr12  398005     399029     ARG1       0      -       0          0        0         1           105       10.2539   0          0        0        2           220       21.4844
chr12  648361     649385     MDC1       0      -       0          0        0         0           0         0         0          0        0        1           174       16.9922
chr12  793027     794051     DDR1       0      +       1          110      10.7422   1           188       18.3594   0          0        0        1           84        8.20312
chr12  1209138    1210162    LTA        0      +       1          87       8.49609   0           0         0         0          0        0        0           0         0
chr12  1212227    1213251    TNF        0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr12  1219848    1220872    LTB        0      -       0          0        0         0           0         0         0          0        0        2           177       17.2852
chr12  1242958    1243982    NCR3       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr12  1490691    1491715    C2         0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr12  1741905    1742929    NOTCH4     0      -       0          0        0         0           0         0         0          0        0        2           323       31.543
chr12  2586440    2587464    PSMB9      0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr12  2587126    2588150    TAP1       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr12  2906650    2907674    TAPBP      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr12  2915532    2916556    DAXX       0      -       1          87       8.49609   0           0         0         0          0        0        0           0         0
chr12  2999328    3000352    PHF1       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr12  3706489    3707513    HMGA1      0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr12  4763674    4764698    FANCE      0      +       0          0        0         1           292       28.5156   0          0        0        1           160       15.625
chr12  5326731    5327755    MAPK14     0      +       1          99       9.66797   0           0         0         0          0        0        0           0         0
chr12  5857280    5858304    SRSF3      0      +       0          0        0         0           0         0         0          0        0        1           186       18.1641
chr12  5927205    5928229    CDKN1A     0      +       0          0        0         0           0         0         0          0        0        4           300       29.2969
chr12  10108997   10110021   TREM2      0      -       0          0        0         1           356       34.7656   1          252      24.6094  0           0         0
chr12  10188597   10189621   TREM1      0      -       0          0        0         0           0         0         0          0        0        3           335       32.7148
chr12  10611532   10612556   TFEB       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr12  10877073   10878097   CCND3      0      -       1          74       7.22656   0           0         0         0          0        0        1           175       17.0898
chr12  11780140   11781164   PTK7       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr12  12397427   12398451   VEGFA      0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr12  12845424   12846448   HSP90AB1   0      +       0          0        0         0           0         0         0          0        0        1           164       16.0156
chr12  12867147   12868171   NFKBIE     0      -       0          0        0         0           0         0         0          0        0        1           179       17.4805
chr12  13824146   13825170   RUNX2      0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr12  20099876   20100900   IL17A      0      +       0          0        0         1           156       15.2344   0          0        0        2           240       23.4375
chr12  20154815   20155839   IL17F      0      -       0          0        0         1           68        6.64062   0          0        0        0           0         0
chr12  20755529   20756553   CILK1      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr12  27263018   27264042   PTP4A1     0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr12  37159632   37160656   TMEM30A    0      -       0          0        0         0           0         0         0          0        0        1           180       17.5781
chr12  45692290   45693314   NT5E       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr12  49677611   49678635   BACH2      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr12  49956849   49957873   MAP3K7     0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr12  52517393   52518417   EPHA7      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr12  63791155   63792179   PRDM1      0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr12  64013653   64014677   ATG5       0      -       0          0        0         1           165       16.1133   0          0        0        0           0         0
chr12  65901199   65902223   FOXO3      0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr12  66409780   66410804   SESN1      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr12  66663417   66664441   CD164      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr12  68722405   68723429   FYN        0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr12  68885663   68886687   CCN6       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr13  4156590    4157614    UBR5       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr13  8971462    8972486    RSPO2      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr13  9110052    9111076    EIF3E      0      -       0          0        0         1           325       31.7383   0          0        0        0           0         0
chr13  16741853   16742877   RAD21      0      -       0          0        0         1           31        3.02734   0          0        0        0           0         0
chr13  17834137   17835161   EXT1       0      -       0          0        0         1           39        3.80859   0          0        0        0           0         0
chr13  18560917   18561941   TNFRSF11B  0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr13  23754655   23755679   TRIB1      0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr13  25628053   25629077   MYC        0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr13  30267635   30268659   NDRG1      0      -       0          0        0         3           271       26.4648   0          0        0        1           169       16.5039
chr13  35895912   35896936   AGO2       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr13  36183296   36184320   PTK2       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr13  39634496   39635520   PHOX2B     0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr13  44668806   44669830   TXK        0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr13  44803644   44804668   TEC        0      -       0          0        0         0           0         0         0          0        0        1           163       15.918
chr13  47295476   47296500   CHIC2      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr13  47417169   47418193   PDGFRA     0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr13  47869448   47870472   KIT        0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr13  48248022   48249046   KDR        0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr13  57231303   57232327   EPHA5      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr13  63484514   63485538   CXCL8      0      +       0          0        0         0           0         0         0          0        0        1           151       14.7461
chr13  63576659   63577683   PPBP       0      +       0          0        0         1           142       13.8672   1          72       7.03125  1           173       16.8945
chr14  7399952    7400976    SMO        0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr14  7592901    7593925    IRF5       0      -       0          0        0         2           178       17.3828   0          0        0        1           187       18.2617
chr14  8551828    8552852    SND1       0      -       0          0        0         1           104       10.1562   0          0        0        0           0         0
chr14  10851675   10852699   POT1       0      +       0          0        0         1           61        5.95703   0          0        0        0           0         0
chr14  12835815   12836839   GRM3       0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr14  13720201   13721225   ABCB1      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr14  18377659   18378683   CDK6       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr14  28806040   28807064   ETV1       0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr14  36552252   36553276   IL6        0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr14  39600609   39601633   HNRNPA2B1  0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr14  40422903   40423927   HOXA3      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr14  40456401   40457425   HOXA11     0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr14  40471624   40472648   HOXA13     0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr14  41372047   41373071   JAZF1      0      -       0          0        0         0           0         0         0          0        0        0           0         0
chr14  41492301   41493325   CREB5      0      +       0          0        0         1           231       22.5586   0          0        0        1           173       16.8945
chr14  43321637   43322661   NOD1       0      -       0          0        0         0           0         0         0          0        0        1           172       16.7969
chr14  55754746   55755770   MET        0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr15  2983253    2984277    MYCL       0      +       0          0        0         0           0         0         0          0        0        1           3         0.292969
chr15  3946199    3947223    RRAGC      0      +       0          0        0         0           0         0         0          0        0        0           0         0
chr15  5889628    5890652    CSF3R      0      +       0          0        0         0           0         0         0          0        0        1           180       17.5781
chr15  5964936    5965960    STK40      0      +       0          0        0         0           0         0         0          0        0        2           280       27.3438
chr15  6367229    6368253    AGO1       0      -       0          0        0         2           398       38.8672   0          0        0        0           0         0
chr15  6948090    6949114    SFPQ       0      +       0          0        0         2           734       71.6797   0          0        0        0           0         0
chr15  9793970    9794994    EPS15      0      +       0          0        0         1           282       27.5391   0          0        0        2           270       26.3672
